"[r IN relationships(path) | r.name + "": "" + type(r)]",total_dist
"[Darjeeling-Rimbik: road,Rimbik-Tumbling: trek,Tumbling-Gairibus: twowheeler,Gairibus-BhikeBhanja: twowheeler,BhikeBhanja-Sandakphu: trek]",44
"[Darjeeling-Rimbik: trek,Rimbik-Tumbling: trek,Tumbling-Gairibus: twowheeler,Gairibus-BhikeBhanja: twowheeler,BhikeBhanja-Sandakphu: trek]",44
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: trek,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: trek,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: trek,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: trek,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: trek,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: trek,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: trek,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: trek,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: trek,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: trek,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: trek,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: trek,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: road,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: road,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: road,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: road,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: road,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: road,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: road,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: road,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: road,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: road,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: road,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: road,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: trek]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: trek,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: trek,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: trek,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: trek,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: trek,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: trek,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: trek,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: trek,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: trek,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: trek,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: trek,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: trek,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: road,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: road,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: road,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: road,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: road,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: road,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: road,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: road,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: road,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: road,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: road,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: road,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",48
